City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Harper,LR,78.44,light rain,4.375,-7.7169,Screensaver
12,Muisne,EC,77.27,overcast clouds,0.6,-80.0333,Quinta Samay
18,Hithadhoo,MV,84.6,heavy intensity rain,-0.6,73.0833,Scoop Guest House
21,Ouesso,CG,72.25,overcast clouds,1.6136,16.0517,ABENIE Hotel
24,Manadhoo,MV,84.74,overcast clouds,5.7667,73.3833,Bon Abri maldives
25,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
27,Barauna,BR,74.89,overcast clouds,-5.08,-37.6167,Pousada Rancho do Sabiá
34,Belmonte,BR,74.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
35,Victoria,HK,78.24,overcast clouds,22.2855,114.1577,Mini Hotel Central
37,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
39,Marovoay,MG,75.99,broken clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
40,Caravelas,BR,72.05,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
43,Arraial Do Cabo,BR,73.02,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
46,Garowe,SO,83.01,overcast clouds,8.4054,48.4845,Curubo Hotel
47,Trairi,BR,76.77,overcast clouds,-3.2778,-39.2689,janelas do mar
48,Mumford,GH,80.42,light rain,5.2618,-0.759,Spanish Villa
51,Saint George,US,82.99,haze,37.1041,-113.5841,Best Western Plus Abbey Inn
52,Tonantins,BR,74.07,broken clouds,-2.8731,-67.8022,Hotel Hortensias
56,Pondicherry,IN,85.39,overcast clouds,11.93,79.83,Villa Shanti for food lovers
58,Mangrol,IN,80.47,clear sky,21.1167,70.1167,Hotel The Royal Honours
61,Umm Lajj,SA,80.87,broken clouds,25.0213,37.2685,Moon light Furnished Units
63,Tallahassee,US,75.67,few clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
66,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Pirineos
67,Kharan,PK,83.53,clear sky,28.5833,65.4167,Dil Aram Bangla
69,Bumba,CD,72.14,overcast clouds,2.1833,22.4667,Père Carlos
75,Maragogi,BR,75.94,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
79,Ambilobe,MG,70.97,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
83,Pedernales,DO,79.72,clear sky,18.0384,-71.744,Hotel Costa Marina
90,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
92,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
96,Adrar,MR,88.29,scattered clouds,20.5022,-10.0711,
97,Faranah,GN,75.4,overcast clouds,10.0404,-10.7434,Chez mon oncle
112,Joao Pinheiro,BR,71.19,scattered clouds,-17.7425,-46.1725,Hotel Santos
113,Augusto Correa,BR,73.76,moderate rain,-1.0217,-46.635,Fazenda Bacuri
115,Georgetown,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
119,Manaquiri,BR,77.45,overcast clouds,-3.3167,-60.35,
120,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
121,Sinazongwe,ZM,72.03,few clouds,-17.2614,27.4618,Lakeview Lodge
125,Bengkulu,ID,77.76,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
131,Quatre Cocos,MU,72.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
133,Porbandar,IN,80.64,clear sky,21.6422,69.6093,Lords Inn Porbandar
137,Bubaque,GW,76.93,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
139,Morondava,MG,72.41,clear sky,-20.2833,44.2833,La Case Bambou
140,Sinnamary,GF,78.15,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
141,Sao Joao Da Barra,BR,70.86,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
143,Bartica,GY,79.12,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
