City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bambous Virieux,MU,72.21,few clouds,-20.3428,57.7575,Casa Tia Villa
1,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
2,Namibe,AO,73.42,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
9,Tessalit,ML,78.12,clear sky,20.1986,1.0114,
10,Hambantota,LK,82.53,overcast clouds,6.1241,81.1185,Bungalow 63
11,Hithadhoo,MV,80.19,moderate rain,-0.6,73.0833,Scoop Guest House
12,Touros,BR,79.36,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
15,Saint George,US,84.79,haze,37.1041,-113.5841,Best Western Plus Abbey Inn
16,Bandarbeyla,SO,82.26,few clouds,9.4942,50.8122,JABIR HOTEL
23,Iralaya,HN,81.43,broken clouds,15.0,-83.2333,Iglesia morava renovada
26,Karwar,IN,81.68,overcast clouds,14.8,74.1333,Netalco Connects
29,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Alize Plage
34,Arraial Do Cabo,BR,72.93,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
37,Riyadh,SA,73.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
38,Maturin,VE,76.17,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
44,Maragogi,BR,76.53,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
49,Black River,JM,80.11,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
52,Jizan,SA,86.94,few clouds,17.3333,42.6667,شهدان. ابوالحجر
53,Tchaourou,BJ,73.13,moderate rain,8.8865,2.5975,SAFIR HOTEL
58,Gamba,GA,77.02,broken clouds,-2.65,10.0,
62,Mahebourg,MU,72.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
72,Bonthe,SL,78.03,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
76,Sur,OM,87.39,clear sky,22.5667,59.5289,Sur Plaza Hotel
79,Georgetown,MY,82.33,moderate rain,5.4112,100.3354,Cititel Penang
80,La Libertad,EC,74.86,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
81,Caravelas,BR,72.18,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
82,Sao Joao Da Barra,BR,70.38,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
84,Carutapera,BR,74.55,light rain,-1.195,-46.02,Lidera
86,Sao Filipe,CV,72.34,clear sky,14.8961,-24.4956,Hotel Xaguate
89,Boende,CD,71.78,overcast clouds,-0.2167,20.8667,
90,Amapa,BR,71.49,overcast clouds,1.0,-52.0,
91,Grand-Santi,GF,73.99,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
94,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
98,Rabak,SD,87.78,overcast clouds,13.1809,32.74,فندق ربك Rabak Hotel
99,Malakal,SS,84.65,overcast clouds,9.5334,31.6605,Nile Palace Hotel
102,Am Timan,TD,89.51,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
103,Tamandare,BR,76.5,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
107,Kalmunai,LK,80.53,overcast clouds,7.4167,81.8167,VS Villa
113,Monrovia,LR,78.44,overcast clouds,6.3005,-10.7969,Sunset Inn
114,Inongo,CD,71.78,overcast clouds,-1.95,18.2667,Hotel Du Lac
118,Marawi,PH,74.98,overcast clouds,7.9986,124.2928,Derogongan Residence
120,Esmeraldas,BR,71.91,scattered clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
125,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
129,Belmonte,BR,74.88,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
130,Victoria,HK,78.19,overcast clouds,22.2855,114.1577,Mini Hotel Central
131,Nioro,GM,79.59,few clouds,13.35,-15.75,
132,Mitu,CO,71.6,overcast clouds,1.1983,-70.1733,
134,Bikaner,IN,87.57,clear sky,28.0167,73.3,The Laxmi Niwas Palace
136,Juba,SS,73.08,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
139,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
140,Paoua,CF,75.54,broken clouds,7.2427,16.4406,Quartier Paoua Elien
142,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
144,Xuddur,SO,75.76,scattered clouds,4.1213,43.8894,Banjanay Hotel
147,Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
148,Harper,LR,79.03,light rain,4.375,-7.7169,Screensaver
150,Lamu,KE,79.02,light rain,-2.2717,40.902,Lamu House
154,Mirabad,AF,82.49,clear sky,30.4362,61.8383,
155,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
157,Marzuq,YE,74.28,scattered clouds,14.4,46.4667,
162,Fuerte Olimpo,PY,74.21,clear sky,-21.0415,-57.8738,Hospedaje DAMI
166,Sena Madureira,BR,77.27,overcast clouds,-9.0656,-68.6569,Hotel Central
168,Kabalo,CD,70.38,overcast clouds,-6.05,26.9167,
174,Tandalti,SD,84.31,overcast clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
176,Doha,QA,82.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
181,Raga,SS,76.46,overcast clouds,8.4596,25.678,
183,Trinidad,BO,82.38,broken clouds,-14.8333,-64.9,Hotel Piesta
189,Tonantins,BR,74.35,scattered clouds,-2.8731,-67.8022,Hotel Hortensias
199,Cockburn Town,TC,79.14,clear sky,21.4612,-71.1419,Osprey Beach Hotel
200,Sinnamary,GF,78.37,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
202,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
206,Porto Walter,BR,78.6,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
208,Mtsamboro,YT,78.12,scattered clouds,-12.6998,45.0689,4 Etoiles
209,Taoudenni,ML,83.43,scattered clouds,22.6783,-3.9836,
212,Gwadar,PK,81.72,clear sky,25.1216,62.3254,Sadaf Resort
213,Olaya Herrera,CO,72.32,light rain,1.2561,-77.4967,San Francisco
215,Ciudad Guayana,VE,74.52,overcast clouds,8.3533,-62.6528,Hotel Las Americas
216,Kavaratti,IN,85.62,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
224,Axim,GH,79.83,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
225,Cap Malheureux,MU,72.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
229,Acarau,BR,77.86,overcast clouds,-2.8856,-40.12,castelo pizzaria
236,Dingle,PH,84.06,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
237,Kattivakkam,IN,86.09,overcast clouds,13.2167,80.3167,Euronova Freezer
238,Chor,PK,81.07,clear sky,25.5167,69.7667,Asad U Bajeer Hotel
239,Bongandanga,CD,72.43,overcast clouds,1.5,21.05,
242,Kasongo-Lunda,CD,72.36,scattered clouds,-6.4667,16.8167,
243,Mangai,CD,72.1,overcast clouds,-4.05,19.5333,
246,Inhambane,MZ,71.08,light rain,-23.865,35.3833,Oceano
247,Bembereke,BJ,75.81,light rain,10.2283,2.6634,Hotel Bio Guera
248,Garoua,CM,89.8,few clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
249,Thinadhoo,MV,83.79,moderate rain,0.5333,72.9333,
251,Puerto Rondon,CO,75.69,broken clouds,6.2805,-71.1,Urbanización Santa Clara
252,Eyl,SO,82.45,scattered clouds,7.9803,49.8164,Amiin Hotel
255,Baracoa,CU,79.03,clear sky,20.3467,-74.4958,Hostal Rio Miel
258,Muli,MV,83.98,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
262,Ouadda,CF,73.71,overcast clouds,8.0777,22.4007,
264,Ndioum,SN,82.29,scattered clouds,16.5129,-14.6471,l'hôtel samassa
266,Pascagoula,US,83.55,clear sky,30.3658,-88.5561,Regency Inn
270,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
274,Pirenopolis,BR,75.69,overcast clouds,-15.8525,-48.9592,Mandala dos Pirineus Eco Village
275,Sassandra,CI,76.77,light rain,4.95,-6.0833,la terrasse
277,Brazzaville,CG,76.71,light rain,-4.2658,15.2832,Hotel Muesse
279,Tanout,NE,86.94,broken clouds,14.9709,8.8879,
282,Kenema,SL,73.47,overcast clouds,7.8767,-11.1875,Capitol Hotel
284,Diamantino,BR,73.13,few clouds,-14.4086,-56.4461,Hotel Delta
285,Lahan,NP,79.0,broken clouds,26.7296,86.4951,Bhattarai Residence
288,Luba,GQ,81.72,broken clouds,3.4568,8.5547,
289,Goundam,ML,86.25,clear sky,16.4145,-3.6708,
291,Keti Bandar,PK,80.44,clear sky,24.1447,67.4497,Haji laloo memon house
293,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
294,Santa Quiteria,BR,73.94,overcast clouds,-4.3319,-40.1567,Tahen Hotel
295,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
296,Macapa,BR,80.58,scattered clouds,0.0389,-51.0664,Atalanta Hotel
298,Catende,BR,71.1,scattered clouds,-8.6667,-35.7167,Abrigo Santo Antonio
300,Ayame,CI,75.22,light rain,5.6083,-3.1563,Hotel Bossan
302,Pimenta Bueno,BR,75.22,broken clouds,-11.6725,-61.1936,Cristalina Palace Hotel
304,Bengkulu,ID,77.97,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
307,Lima,PE,72.9,clear sky,-12.0432,-77.0282,Hotel Kamana
309,Diu,IN,79.81,clear sky,20.7141,70.9822,Hotel Relax Inn
312,Vaikam,IN,77.02,moderate rain,9.7667,76.4,Kalathil Lake Resort
313,Novo Aripuana,BR,74.26,scattered clouds,-5.1206,-60.3797,Hotel Ezequiel
314,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
316,Rudbar,AF,82.67,clear sky,30.15,62.6,
317,Angoche,MZ,72.18,clear sky,-16.2325,39.9086,Guest House HESADA
320,Sao Miguel Do Araguaia,BR,79.29,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
321,Guanica,PR,82.11,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
322,Garissa,KE,77.9,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
323,Kuchera,IN,84.58,clear sky,26.9839,73.9719,Surendra Java
324,Spring Hill,US,82.51,clear sky,28.4769,-82.5255,Room of The world By traveline Plus
325,Bosaso,SO,82.62,clear sky,11.2842,49.1816,Red Sea Hotel
326,Umm Lajj,SA,81.81,scattered clouds,25.0213,37.2685,Moon light Furnished Units
328,Manono,CD,70.39,broken clouds,-7.3,27.4167,Hotel hewa bora
332,Fatehpur,IN,83.71,clear sky,25.9333,80.8,Hotel Bombay Lodge
335,Morant Bay,JM,82.02,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
336,Hobyo,SO,83.62,light rain,5.3505,48.5268,Iftin hotel hobyo
337,Manavalakurichi,IN,82.49,overcast clouds,8.1333,77.3,Jebinrio home
345,Culebra,PR,80.69,scattered clouds,18.303,-65.301,Palmetto Guesthouse
346,Tabas,IR,73.67,few clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
347,Tarauaca,BR,75.6,broken clouds,-8.1614,-70.7656,Flat Temporada
348,Jasper,US,80.55,overcast clouds,37.2001,-94.3502,Guest House Motel
349,Gashua,NG,89.15,scattered clouds,12.871,11.0482,Forte Oil - Old Lorry Park
351,Koraput,IN,70.07,overcast clouds,18.8167,82.7167,Raj Residency
352,Aripuana,BR,75.13,broken clouds,-9.1667,-60.6333,
353,Khash,IR,72.93,few clouds,28.2211,61.2158,خوابگاه آبجی محدثه
359,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
360,Tambopata,PE,74.48,scattered clouds,-12.7333,-69.1833,
369,Dwarka,IN,81.07,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
370,Biu,NG,85.95,broken clouds,10.6129,12.1946,Emir's Palace
371,Esmeralda,CU,78.93,scattered clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
372,Anloga,GH,82.78,broken clouds,5.7947,0.8973,Pin Drop Hotel
376,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
379,Saposoa,PE,73.15,broken clouds,-6.934,-76.7716,Hostal Primavera
383,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
384,Ugoofaaru,MV,84.76,overcast clouds,5.6667,73.0,Ungoofaaru Inn
388,Gujrat,PK,82.36,clear sky,32.5728,74.079,Aziz Butt
389,Guasdualito,VE,75.16,broken clouds,7.2424,-70.7324,Hotel Cuibas
392,Kikwit,CD,72.25,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
393,Kidal,ML,83.08,clear sky,18.4411,1.4078,
395,Eravur,LK,81.54,overcast clouds,7.7733,81.6095,Farhan KING House
396,Zhanakorgan,KZ,75.16,overcast clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
399,Matara,LK,80.85,light rain,5.9485,80.5353,Amaloh Boutique Resort
400,Panama City,PA,87.75,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
403,Agboville,CI,74.41,moderate rain,5.928,-4.2132,hotel LE PRESTIGE
405,Wajir,KE,76.75,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
406,Acari,PE,70.88,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
409,Alta Floresta,BR,75.97,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
410,Clearwater,US,83.1,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
411,Araouane,ML,81.36,clear sky,18.9048,-3.5265,
412,Bandraboua,YT,78.48,few clouds,-12.7044,45.1223,HASSANI Mikidachi
413,Puri,IN,81.1,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
414,Linguere,SN,84.42,clear sky,15.3953,-15.1193,AYO Casablanca
415,Formosa Do Rio Preto,BR,71.89,clear sky,-11.0483,-45.1931,Porto Center Hotel
416,Barinas,VE,77.23,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
417,Mayumba,GA,76.42,scattered clouds,-3.432,10.6554,LIKWALE LODGE
421,Dire Dawa,ET,72.32,broken clouds,9.5931,41.8661,Samrat Hotel
425,Jos,NG,74.23,overcast clouds,9.9167,8.9,Silk Suites
427,Kano,NG,87.69,clear sky,12.0001,8.5167,Royal Tropicana Hotel
430,Veraval,IN,80.65,clear sky,20.9,70.3667,Lords Inn Somnath
433,Saint-Joseph,RE,70.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
435,Iberia,US,86.07,clear sky,29.9502,-91.7507,back to back rv park
436,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
437,Sakti,IN,76.93,clear sky,22.0333,82.9667,C.B. Sweet Home
438,Aparecida Do Taboado,BR,70.45,clear sky,-20.0867,-51.0936,Aritana
440,Goure,NE,87.01,few clouds,13.9835,10.2704,
444,Marsh Harbour,BS,77.56,clear sky,26.5412,-77.0636,Abaco Beach Resort
445,Elat,IL,74.43,broken clouds,29.5581,34.9482,Club Hotel Eilat
451,Santa Marta,CO,87.85,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
454,Nizwa,OM,80.96,clear sky,22.9333,57.5333,Orient Apartments
459,Port Blair,IN,78.84,thunderstorm with light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
462,The Valley,AI,80.74,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
466,Kismayo,SO,79.45,light rain,-0.3582,42.5454,Agan-Hotel
468,Barra Patuca,HN,81.99,scattered clouds,15.8,-84.2833,
472,George Town,MY,82.33,moderate rain,5.4112,100.3354,Cititel Penang
477,Mumford,GH,80.91,light rain,5.2618,-0.759,Spanish Villa
478,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
482,Hattiesburg,US,87.73,clear sky,31.3271,-89.2903,Quality Inn & Suites
485,West Bay,KY,85.06,scattered clouds,19.3667,-81.4167,Calypso Cove
492,Lagos,NG,82.72,light rain,6.5833,3.75,
498,Dakar,SN,70.68,few clouds,14.6937,-17.4441,Novotel Dakar
499,Magaria,NE,87.98,scattered clouds,12.9983,8.9099,Chez Honorable Chapiou
504,Itarema,BR,77.14,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
507,Sao Jose Da Coroa Grande,BR,76.98,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
508,Barra Do Garcas,BR,76.73,clear sky,-15.89,-52.2567,Pousada Tropical
509,Bulungu,CD,71.04,overcast clouds,-4.55,18.6,
