City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,44.26,65,75,4.61,broken clouds
1,Harper,LR,4.375,-7.7169,78.44,85,100,1.28,light rain
2,Saint Anthony,US,45.0205,-93.218,58.24,76,100,14.97,overcast clouds
3,Port Alfred,ZA,-33.5906,26.891,61.25,81,99,9.24,overcast clouds
4,Pastavy,BY,55.1168,26.8326,34.52,64,3,9.26,clear sky
5,Talnakh,RU,69.4865,88.3972,18.21,94,90,10.65,overcast clouds
6,Hermanus,ZA,-34.4187,19.2345,58.06,76,98,3.33,overcast clouds
7,Cape Town,ZA,-33.9258,18.4232,56.12,90,100,2.3,mist
8,Margate,GB,51.3813,1.3862,48.31,86,5,1.99,clear sky
9,Muzhi,RU,65.3667,64.6667,37.27,91,69,7.43,broken clouds
10,Winchester,GB,51.0651,-1.3187,50.49,74,12,2.3,few clouds
11,Vardo,NO,70.3705,31.1107,28.38,80,20,17.27,few clouds
12,Muisne,EC,0.6,-80.0333,77.27,87,98,9.55,overcast clouds
13,Sao Sebastiao,BR,-23.76,-45.4097,68.4,90,73,5.26,broken clouds
14,Ponta Do Sol,PT,32.6667,-17.1,63.23,71,55,6.4,broken clouds
15,Tasiilaq,GL,65.6145,-37.6368,33.96,66,99,0.98,overcast clouds
16,Leshukonskoye,RU,64.8989,45.7622,29.95,93,100,5.84,overcast clouds
17,Khor,RU,47.8861,134.9464,55.92,42,30,10.76,scattered clouds
18,Hithadhoo,MV,-0.6,73.0833,84.6,76,100,20.2,heavy intensity rain
19,Nanortalik,GL,60.1432,-45.2371,37.0,90,100,2.44,overcast clouds
20,Busselton,AU,-33.65,115.3333,58.21,78,1,2.15,clear sky
21,Ouesso,CG,1.6136,16.0517,72.25,90,91,1.66,overcast clouds
22,Eganville,CA,45.5334,-77.0994,50.85,67,0,5.26,clear sky
23,Mar Del Plata,AR,-38.0023,-57.5575,64.94,79,0,9.22,clear sky
24,Manadhoo,MV,5.7667,73.3833,84.74,72,96,19.82,overcast clouds
25,Mahebourg,MU,-20.4081,57.7,72.25,94,40,1.14,scattered clouds
26,Nouadhibou,MR,20.931,-17.0347,66.18,88,75,16.11,broken clouds
27,Barauna,BR,-5.08,-37.6167,74.89,90,100,4.5,overcast clouds
28,Port Elizabeth,ZA,-33.918,25.5701,59.29,96,20,8.05,few clouds
29,Camacha,PT,33.0833,-16.3333,58.42,77,20,9.22,few clouds
30,Punta Arenas,CL,-53.15,-70.9167,44.71,76,40,31.07,moderate rain
31,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,32,6.17,scattered clouds
32,Walvis Bay,NA,-22.9575,14.5053,54.55,47,0,2.3,clear sky
33,Kensington,AU,-33.9167,151.2167,62.71,82,75,11.5,shower rain
34,Belmonte,BR,-15.8631,-38.8828,74.1,88,92,8.61,overcast clouds
35,Victoria,HK,22.2855,114.1577,78.24,82,100,4.0,overcast clouds
36,Henties Bay,NA,-22.116,14.2845,58.42,78,0,6.98,clear sky
37,Vila Velha,BR,-20.3297,-40.2925,73.35,83,75,12.66,broken clouds
38,Geraldton,AU,-28.7667,114.6,55.81,82,0,5.75,clear sky
39,Marovoay,MG,-16.1,46.6333,75.99,81,61,2.53,broken clouds
