City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Castro,BR,2022-05-08 08:35:23,-24.7911,-50.0119,47.61,92,100,7.07
1,Lebu,CL,2022-05-08 08:35:24,-37.6167,-73.65,52.97,94,26,3.78
2,Bluff,NZ,2022-05-08 08:35:24,-46.6,168.3333,53.8,89,100,4.99
3,Dzilam Gonzalez,MX,2022-05-08 08:35:25,21.2833,-88.9333,77.25,84,0,6.4
4,Boa Vista,BR,2022-05-08 08:35:26,2.8197,-60.6733,75.18,88,75,4.61
5,Albany,US,2022-05-08 08:35:24,42.6001,-73.9662,43.57,62,94,4.05
6,Beringovskiy,RU,2022-05-08 08:35:27,63.05,179.3167,32.67,95,100,5.48
7,Thompson,CA,2022-05-08 08:35:27,55.7435,-97.8558,55.56,54,100,4.61
8,Souillac,MU,2022-05-08 08:35:28,-20.5167,57.5167,80.98,74,40,11.5
9,Tasiilaq,GL,2022-05-08 08:35:29,65.6145,-37.6368,32.16,65,100,5.68
10,Rikitea,PF,2022-05-08 08:35:30,-23.1203,-134.9692,77.04,80,7,18.01
11,Colares,PT,2022-05-08 08:35:30,38.7992,-9.4469,77.45,47,0,10.0
12,Puri,IN,2022-05-08 08:35:32,19.8,85.85,95.52,63,31,13.78
13,Ushuaia,AR,2022-05-08 08:32:22,-54.8,-68.3,46.06,57,20,9.22
14,Belyy Yar,RU,2022-05-08 08:35:32,53.6039,91.3903,49.86,18,0,15.66
15,Hithadhoo,MV,2022-05-08 08:35:33,-0.6,73.0833,84.33,76,58,19.17
16,Jamestown,US,2022-05-08 08:30:56,42.097,-79.2353,38.05,75,0,1.99
17,Dingle,PH,2022-05-08 08:35:33,10.9995,122.6711,86.45,66,60,10.04
18,Clyde River,CA,2022-05-08 08:35:34,70.4692,-68.5914,8.83,92,100,5.75
19,Kautokeino,NO,2022-05-08 08:35:34,69.0125,23.0412,34.11,53,100,15.68
20,Comodoro Rivadavia,AR,2022-05-08 08:30:38,-45.8667,-67.5,69.66,40,0,11.5
21,Hilo,US,2022-05-08 08:35:35,19.7297,-155.09,78.28,91,100,1.99
22,Dikson,RU,2022-05-08 08:35:36,73.5069,80.5464,20.23,89,76,21.32
23,Norman Wells,CA,2022-05-08 08:35:36,65.282,-126.8329,39.24,65,75,3.44
24,Luderitz,NA,2022-05-08 08:35:37,-26.6481,15.1594,66.27,36,0,11.03
25,Vaini,TO,2022-05-08 08:35:37,-21.2,-175.2,73.56,88,20,8.05
26,Khani,GE,2022-05-08 08:35:38,41.9563,42.9566,45.97,99,100,3.94
27,Marsh Harbour,BS,2022-05-08 08:35:38,26.5412,-77.0636,78.01,74,2,16.53
28,Oktyabrskoye,RU,2022-05-08 08:33:31,43.0645,44.7417,44.74,93,100,8.95
29,Aksarka,RU,2022-05-08 08:35:40,66.5606,67.7975,35.24,100,100,11.12
30,Ilulissat,GL,2022-05-08 08:35:40,69.2167,-51.1,21.22,68,17,0.0
31,Kjollefjord,NO,2022-05-08 08:35:41,70.9457,27.3465,33.85,86,99,13.13
32,Leninskoye,KZ,2022-05-08 08:35:41,41.7589,69.3864,88.75,29,0,4.83
33,Keokuk,US,2022-05-08 08:35:42,40.3973,-91.3849,55.92,76,40,10.36
34,Lashio,MM,2022-05-08 08:35:42,22.9333,97.75,81.61,57,94,0.6
35,Fort Nelson,CA,2022-05-08 08:35:43,58.8053,-122.7002,33.39,93,100,16.11
36,Chuy,UY,2022-05-08 08:35:43,-33.6971,-53.4616,53.19,92,32,5.14
37,Lamar,US,2022-05-08 08:35:44,33.6668,-95.5836,73.63,78,100,14.97
38,Kodiak,US,2022-05-08 08:35:44,57.79,-152.4072,44.11,61,0,5.75
39,Pevek,RU,2022-05-08 08:35:45,69.7008,170.3133,26.1,92,100,7.67
40,Wasilla,US,2022-05-08 08:34:44,61.5814,-149.4394,47.07,73,75,8.05
41,Nome,US,2022-05-08 08:35:46,64.5011,-165.4064,32.07,93,100,13.8
42,Cabedelo,BR,2022-05-08 08:35:46,-6.9811,-34.8339,74.07,85,87,10.49
43,Olafsvik,IS,2022-05-08 08:35:46,64.8945,-23.7142,43.34,93,100,13.31
44,Sitka,US,2022-05-08 08:35:47,57.0531,-135.33,42.69,75,0,0.0
45,Punta Arenas,CL,2022-05-08 08:34:14,-53.15,-70.9167,46.51,71,75,23.02
46,Codrington,AU,2022-05-08 08:36:48,-38.2667,141.9667,52.32,74,64,5.82
47,Kaitangata,NZ,2022-05-08 08:36:48,-46.2817,169.8464,53.35,96,100,2.15
48,Naze,JP,2022-05-08 08:36:49,28.3667,129.4833,72.52,91,100,8.72
49,Bengkulu,ID,2022-05-08 08:36:49,-3.8004,102.2655,85.24,65,91,6.4
50,Mount Isa,AU,2022-05-08 08:36:50,-20.7333,139.5,82.17,44,75,10.36
51,Mindelo,CV,2022-05-08 08:32:25,16.8901,-24.9804,71.15,64,20,16.11
52,Prince Rupert,CA,2022-05-08 08:35:09,54.3161,-130.3201,46.09,87,100,6.91
53,Airai,TL,2022-05-08 08:36:51,-8.9266,125.4092,64.58,82,82,4.32
54,Dourbali,TD,2022-05-08 08:36:52,11.8091,15.8632,99.28,27,94,4.36
55,Atuona,PF,2022-05-08 08:36:52,-9.8,-139.0333,78.19,81,40,15.77
56,Lasa,IT,2022-05-08 08:36:53,46.6166,10.7002,56.28,84,93,2.15
